             , nationality   , gender_identity  , age     , education_level                      , visit_type                   , visit_purpose                                                          , religious   , visited_memorial_before     , personal_connection_nazi_history, personal_connection_details                                , knowledge_ww2      , known_persecuted_groups_open                                                                                                                          , technologies_used                                            , videogame_frequency
1741772306492, Germany       , Female           , 45–54   , Master's degree                      , As an adult with other adults, To learn more about the history__For commemoration                     , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , Invalid
1742805848995,               , Female           , 35–44   , High school                          , As a student with my group   , To learn more about the history__For commemoration                     , Yes         , No                          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1746779136783, United Kingdom, Male             , 55–64   , Bachelor's degree                    , As an adult with other adults, To learn more about the history                                        , No          , No                          , no                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , 0
1744556077547, Germany       , Female           , 35–44   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , I don't know, "Yes, once before"          , No                              ,                                                            , 3.Somewhat         , Jews__Jehovah's Witnesses__Homosexuals__Sick people__Disabled people                                                                                  , Virtual Reality (VR)                                         , 0
1742379813638, Germany       , Female           , 45–54   , Bachelor's degree                    , Other                        , To learn more about the history                                        , Yes         , "Yes, more than once before", no                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1746955262475, Germany       , Female           , 45–54   , Vocational training or apprenticeship, As an adult with other adults, For commemoration                                                      , Yes         , "Yes, more than once before", No                              ,                                                            , 4.More than average, Sinti and Roma                                                                                                                                        , 3D model viewer                                              , 0
1742806036099, Afghaner      , Prefer not to say, 16–18   ,                                      , As a student with my group   , To learn more about the history__For commemoration__For research       , Yes         ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1741692623164, Germany       , Female           , 55–64   , Secondary school                     , Alone                        , To learn more about the history__For commemoration                     , Yes         , "Yes, more than once before", No                              ,                                                            , 4.More than average, "Juden, Sinti und Roma, Homosexuelle,Menschen mit Behinderung, "                                                                                      ,                                                              , 3
1742551738217, Germany       , Female           , 16–18   , High school                          , As a student with my group   , To learn more about the history__For commemoration                     , Yes         , No                          , No                              ,                                                            , 4.More than average, Jews__Non-Aryans__Sinti and Roma__Disabled people                                                                                                     , 3D model viewer                                              , 4
1742470823711,               , Prefer not to say, 85+     , Doctorate                            , As an adult with children    , Other                                                                  , I don't know,                             , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       , 3D model viewer                                              , Invalid
1742736399599, Germany       , Female           , 65–74   ,                                      , As an adult with other adults, To learn more about the history                                        , Yes         , "Yes, once before"          , No                              ,                                                            , 3.Somewhat         , Jews__Disabled people                                                                                                                                 , 3D model viewer                                              , Invalid
1743949676798, Poland        , Male             , 35–44   , Vocational training or apprenticeship, Alone                        , For research                                                           , No          , No                          , No                              ,                                                            , 4.More than average,                                                                                                                                                       , Virtual Reality (VR)__3D model viewer                        , 1
1739368272893, Germany       , Female           , 25–34   , Vocational training or apprenticeship, As an adult with other adults, For commemoration                                                      , No          , "Yes, once before"          , No                              ,                                                            , 4.More than average,                                                                                                                                                       , Virtual Reality (VR)__3D model viewer                        , Invalid
1741959435011, Germany       , Male             , 55–64   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , No          , No                          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1742435523070, Germany       , Female           , 45–54   , Master's degree                      , Alone                        , Other                                                                  ,             , "Yes, more than once before", No                              ,                                                            , 5.Very much        ,                                                                                                                                                       , 3D model viewer                                              , 0
1743341679891, Germany       , Male             , 25–34   , Vocational training or apprenticeship, Alone                        , To learn more about the history__For commemoration__Other              , I don't know, "Yes, more than once before", No                              ,                                                            , 4.More than average, Jews__Slavs__Homosexuals__Jehovah's Witnesses                                                                                                         , 3D model viewer                                              , 0
1738597633172, Turkey        , Female           , 25–34   , Bachelor's degree                    , As an adult with other adults, For commemoration                                                      , Yes         , "Yes, once before"          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       , 3D model viewer                                              , 2
1738066035601, Germany       , Female           , 55–64   , Vocational training or apprenticeship, Alone                        , To learn more about the history                                        , No          , "Yes, once before"          , No                              ,                                                            , 3.Somewhat         , SS                                                                                                                                                    , 3D model viewer                                              , Invalid
1745411328500,               , Female           , 35–44   , Bachelor's degree                    , As an adult with children    , To learn more about the history__For commemoration                     ,             , No                          , Yes                             , Other                                                      , 4.More than average,                                                                                                                                                       ,                                                              , Invalid
1744792143311, Germany       , Male             , Under 16, Secondary school                     , Other                        , For commemoration__Other                                               , No          , No                          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1745506928857,               , Male             , Under 16, Secondary school                     , As an adult with children    , To learn more about the history                                        , Yes         , "Yes, once before"          , No                              ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1738760795943, German        ,                  , Under 16, High school                          , As a student with my group   , To learn more about the history__For commemoration__For research       , Yes         , No                          , no                              ,                                                            , 4.More than average, Spam                                                                                                                                                  , Augmented Reality (AR)__Virtual Reality (VR)__3D model viewer, 120
1745401352656,               ,                  ,         ,                                      ,                              ,                                                                        ,             ,                             ,                                 ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1733922197810,               , Prefer not to say,         ,                                      ,                              ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1743941067246, Germany       , Female           , 55–64   , Master's degree                      , As an adult with children    , To learn more about the history                                        , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       , Augmented Reality (AR)__Virtual Reality (VR)__3D model viewer, 0
1744449654366, Germany       , Female           , 55–64   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , Yes         , No                          , No                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , 0
1733918487013, Germany       , Male             , 16–18   , Secondary school                     , As a student with my group   , To learn more about the history                                        , I don't know,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1745223412789, Germany       , Female           , 55–64   , Master's degree                      , As an adult with other adults, To learn more about the history__For commemoration                     , Yes         , "Yes, once before"          , No                              ,                                                            , 5.Very much        , Other                                                                                                                                                 , 3D model viewer                                              , 0
1742214895288, United Kingdom, Female           , 25–34   , Bachelor's degree                    , Alone                        , To learn more about the history                                        , No          , "Yes, more than once before", no                              ,                                                            , 5.Very much        , Sinti and Roma__Homosexuals__Jehovah's Witnesses                                                                                                      , Virtual Reality (VR)__3D model viewer                        , 5
1741775130106, Brazil        , Female           , 45–54   , Bachelor's degree                    , As an adult with other adults, To learn more about the history                                        , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , Invalid
1746352239042, Sweden        , Female           , 45–54   , Bachelor's degree                    , Other                        , To learn more about the history                                        , No          , "Yes, once before"          , no                              ,                                                            , 4.More than average, Disabled people__Socialists__Homosexuals__Jews__Sinti and Roma__Union leaders__Priests                                                                , Virtual Reality (VR)                                         , 0
1742991930694,               ,                  ,         ,                                      ,                              ,                                                                        ,             , "Yes, more than once before", no                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1741096691056, Germany       , Female           , 25–34   , Vocational training or apprenticeship, Alone                        , Other                                                                  , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       , 3D model viewer                                              , 10
1746953316385,               , Female           , 65–74   , Vocational training or apprenticeship, As an adult with children    , To learn more about the history                                        , I don't know, "Yes, more than once before", Yes                             , Other                                                      , 4.More than average,                                                                                                                                                       ,                                                              , 0
1745395989194,               , Female           , 45–54   , Master's degree                      , As an adult with children    , To learn more about the history                                        ,             , "Yes, once before"          , Yes                             , Unspecified                                                , 4.More than average,                                                                                                                                                       ,                                                              , Invalid
1742221384045, Poland        , Female           , 16–18   , High school                          , As a student with my group   , To learn more about the history                                        , No          , "Yes, once before"          , no                              ,                                                            , 3.Somewhat         , Jews__Homosexuals__Sinti and Roma__Asocials                                                                                                           , Virtual Reality (VR)                                         , 0
1742997953050, Germany       , Male             , Under 16, Secondary school                     , As a student with my group   , Other                                                                  , I don't know,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1742039129552,               , Male             , 55–64   , Vocational training or apprenticeship, As an adult with children    , To learn more about the history                                        , No          , "Yes, once before"          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1745415157435,               , Other            ,         ,                                      ,                              ,                                                                        ,             ,                             ,                                 ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1741682113087,               ,                  ,         ,                                      , Alone                        ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1742386045562,               , Male             , 25–34   , Master's degree                      , As a student with my group   , To learn more about the history                                        , No          , "Yes, more than once before", No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1742652201906, Germany       , Male             , 45–54   , Doctorate                            , Alone                        , To learn more about the history                                        , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average, Sinti and Roma__Jews__Jehovah's Witnesses__Homosexuals__Asocials__Career criminals__Mentally ill__Disabled people__Communists__Socialists             , Augmented Reality (AR)__Virtual Reality (VR)__3D model viewer, 10
1738500442396, Germany       , Male             , 16–18   , Secondary school                     , As a student with my group   , To learn more about the history                                        , No          , "Yes, once before"          , Yes                             , Relatives were perpetrators                                , 3.Somewhat         , Jews__Political opponents__Sinti and Roma__Homosexuals__Disabled people                                                                               , Augmented Reality (AR)__Virtual Reality (VR)__3D model viewer, 9
1742464751042, Ukraine       , Female           , 35–44   , High school                          , As a student with my group   ,                                                                        , Yes         , No                          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1745235837263, Germany       , Female           , 35–44   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , Yes         , No                          , No                              ,                                                            , 4.More than average, Spam                                                                                                                                                  , 3D model viewer                                              , 2
1746271010301, France        , Female           , 25–34   , Master's degree                      , As an adult with other adults, To learn more about the history                                        , No          , No                          , no                              ,                                                            , 4.More than average, Sinti and Roma__Homosexuals__Disabled people__Soviets                                                                                                 , Virtual Reality (VR)__3D model viewer                        , 10
1746177554120, Germany       , Female           , 65–74   , Master's degree                      , Alone                        , To learn more about the history__For commemoration__For research       , I don't know, "Yes, more than once before", Yes                             , Relatives were persecuted__Relatives were perpetrators     , 4.More than average, Jews__Homosexuals__Sinti and Roma__Jehovah's Witnesses                                                                                                , Augmented Reality (AR)__Virtual Reality (VR)__3D model viewer, 0
1733156508535, Poland        , Female           , 16–18   , Secondary school                     , As a student with my group   , To learn more about the history                                        , Yes         , "Yes, once before"          , No                              ,                                                            , 2.Very little      ,                                                                                                                                                       , Virtual Reality (VR)                                         , 4
1733319328705, Ireland       , Male             , 18–24   ,                                      , Alone                        ,                                                                        , I don't know,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1741172211818, Netherlands   , Male             , Under 16, High school                          , As a kid with my parents     , To learn more about the history                                        , No          , "Yes, once before"          , no                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1740744069450, Germany       , Female           , 16–18   , High school                          , As a student with my group   , To learn more about the history                                        , Yes         , No                          , No                              ,                                                            , 4.More than average, Jews__Sinti and Roma__Homosexuals__Political opponents__Disabled people                                                                               , Virtual Reality (VR)__3D model viewer                        , 1
1746278935731,               , Male             , 45–54   ,                                      ,                              ,                                                                        ,             ,                             , Yes                             ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1743845838544, Romanian      , Female           , 16–18   , High school                          , As a student with my group   , To learn more about the history                                        , Yes         , No                          , no                              ,                                                            , 5.Very much        ,                                                                                                                                                       , Augmented Reality (AR)__Virtual Reality (VR)                 , Invalid
1743580535268, Germany       , Male             , 35–44   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , Yes         , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , 10
1742983980918, Germany       , Female           , 55–64   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history__For commemoration                     , Yes         , No                          , No                              ,                                                            , 2.Very little      , SS                                                                                                                                                    ,                                                              , 4
1738758959251, Germany       , Female           , Under 16, Secondary school                     , As a student with my group   , To learn more about the history__Other                                 , I don't know, No                          , No                              ,                                                            , 4.More than average, Homosexuals__Jews__Sinti and Roma__Disabled people                                                                                                    ,                                                              , 2
1742293074916, Germany       , Male             , 35–44   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , No          , No                          , No                              ,                                                            , 4.More than average,                                                                                                                                                       , Virtual Reality (VR)                                         , 1
1747208473170, Germany       , Female           ,         ,                                      ,                              ,                                                                        ,             ,                             ,                                 ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1742467333392,               , Female           , 16–18   , Vocational training or apprenticeship, As a student with my group   , To learn more about the history__For research                          , Yes         , No                          , No                              ,                                                            , 2.Very little      ,                                                                                                                                                       ,                                                              , Invalid
1744370345792, Germany       , Male             , 55–64   , Master's degree                      , Alone                        , To learn more about the history                                        , I don't know, No                          , No                              ,                                                            , 3.Somewhat         , Jews__Homosexuals__Communists                                                                                                                         ,                                                              , 0
1738503696007, Germany       , Male             , 65–74   , Vocational training or apprenticeship, Alone                        , To learn more about the history__For commemoration                     , Yes         , "Yes, more than once before", No                              ,                                                            , 5.Very much        ,                                                                                                                                                       ,                                                              , Invalid
1742805972204,               ,                  ,         ,                                      ,                              ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       , Virtual Reality (VR)                                         , Invalid
